ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
81,Oltenia,Uwlatinia,,,Ao'erteniya,Olténie,Oltenia,Olteenia,Oltenia,Olténie,Kleine Walachei,Oltenia,Olténia,Oltenia,Orutenia,Oltenia,Oltenia,Oltenia,Oltenia,Oltenija,Oltenien,Oltenya,,Oltenija,Oltenia,Oltênia,Oltenië
82,Banat,Banat,,,Banate,Banát,Banat,Banaat,Baanaatti,Banat historique,Banat,Vanato,Bánság,Banato,Banato,Banata,Banatas,Banat,Banat,Banat,Banatet,Banat,,Banat,Banato,Banato,Banaat
83,Crisana,Crisana,,,Kelisana,Krišana,Crisana,Krisaania,Crişana,Crişana,Kreischland,Crisana,Körösvidék,Crisania,Sakebu,Crisana,Krišana,Kriszana,Crişana,Krishana,Crisana,Crişana,,Crişana,Crișana,Crișana,Crișana
84,Transilvania,Transilfanya,,,Telanxiwaniya,Sedmihradsko,Transylvania,Transilvaania,Transilvania,Transylvanie,Siebenbürgen,Transulvania,Erdély,Transilvania,Toranshiruvuania,Transilvānija,Transilvanija,Siedmiogród,Transilvania,Transil'vanija,Transsylvanien,Erdel,,Transilvanija,Transilvania,Transilvânia,Transsylvanië
85,Dancigu,Ghdansik,,,Gedansike,Gdaňsk,Danzig,Gdańsk,Gdańsk,Gdańsk,Danzig,Gkntansk,Gdańsk,Danzica,Gudanisuku,Gdaņska,Gdanskas,Gdańsk,Gdańsk,Gdan'sk,Gdańsk,Gdańsk,,Gdanjsk,Gdansk,Gdansk,Dantzig
86,Poseni,Buznan,,,Bozinan,Poznaň,Poznan,Poznań,Poznań,Poznań,Posen,Poznan,Poznań,Poznań,Pozunan,Poznaņa,Poznanė,Poznań,Poznań,Poznan',Poznań,Poznań,,Poznanj,Poznan,Posnânia,Posen
87,Łódz,Łódz,,,Ł�dz,Łódz,Łódz,Łódz,Łódz,Łódz,Litzmannstadt,Łódz,Łódz,Lodzia,Łódz,Łódz,Łódz,Łódz,Łódz,Łódz,Łódz,Łódz,,Łódz,Łódz,Łódz,Lodz
88,Krakovi,Krakuf,,,Kelakefu,Krakov,Krakow,Kraków,Krakova,Cracovie,Beskidland,Krakovia,Krakkó,Cracovia,Kurakufu,Krakova,Krokuva,Kraków,Cracovia,Krakov,Kraków,Kraków,,Krakov,Cracovia,Cracóvia,Krakau
89,Stanisławów,Stanisławów,,,Shitannisilaweifu,Stanisławów,Stanisławów,Stanisławów,Stanisławów,Stanisławów,Stanislau,Stanisławów,Stanisławów,Stanislao,Sutanisuwafu,Stanisławów,Stanisławów,Stanisławów,Stanisławów,Stanisławów,Stanisławów,Stanisławów,,Stanisławów,Stanisławów,Stanisławów,Stanislau
90,Kielce,Kilsi,,,Kaiercai,Kielce,Kielce,Kielce,Kielce,Kielce,Kielitz,Kieltse,Kielce,Chielze,Kyerutsue,Kelce,Kelcai,Kielce,Kielce,Kel'tse,Kielce,Kielce,,Kielce,Kielce,Kielce,Kielce
91,Lwów,Lafif,,,Liwofu,Lvov,Lwów,Lviv,Lviv,Lviv,Lemberg,Lviv,Lviv,Leopoli,Rivuiu,Ļvova,Lvovas,Lwów,Liov,L'vov,Lviv,Lviv,,Lavov,Leópolis,Leópolis,Lemberg
92,Lublin,Lubyn,,,Lubulin,Lublin,Lublin,Lublin,Lublin,Lublin,Lüben,Loyblin,Lublin,Lublino,Ruburin,Ļubļina,Liublinas,Lublin,Lublin,Ljublin,Lublin,Lublin,,Lublin,Lublin,Lublin,Lublin
93,Wołyn,Wołyn,,,Woloniya,Wołyn,Wołyn,Wołyn,Wołyn,Wołyn,Wolhynien,Wołyn,Wołyn,Volinia,Wołyn,Wołyn,Wołyn,Wołyn,Wołyn,Wołyn,Wołyn,Wołyn,,Wołyn,Wołyn,Wołyn,Wołyn
94,Polesie,Polesie,Padlyashsha,,Bolixiya,Polesí,Polesie,Polesje,Polesia,Polésie,Polesien,Polesia,Polesie,Polesia,Porīsha,Poļesje,Polesė,Polesie,Polesia,Poles'e,Polesien,Polesiye,,Polissja,Polesia,Polésia,Polesië
95,Nowogródek,Nowogródek,Navahrudak,,Xingeluduoke,Novogrodek,Nowogródek,Navahrudak,Navahrudak,Navahroudak,Neugrund,Nowogródek,Navahrudak,Neonatia,Navuafurudaku,Navahrudaka,Naugardukas,Nowogródek,Nowogródek,Novogrudok,Navahrudak,Nowogródek,,Nowogródek,Novogrúdok,Navahrudak,Navahroedak
96,Wilejka,Wilejka,Vilejka,,Weilieyiqia,Vilejka,Wilejka,Vilejka,Vileika,Vileïka,Vilejka,Wilejka,Vilejka,Vilechia,Tsuno,Viļejka,Vileika,Wilejka,Wilejka,Vilejka,Vilejka,Wilejka,,Wilejka,Wilejka,Wilejka,Wilejka
97,Bialystok,Byawistuk,Belastok,,Biyaweisituoke,Bělostok,Białystok,Białystok,Białystok,Białystok,Bjelostock,Biaoyistok,Białystok,Bialistocco,Byauisutoku,Bjalistoka,Balstogė,Białystok,Białystok,Belostok,Białystok,Białystok,,Białystok,Białystok,Białystok,Białystok
98,Plocku,Butisk,,,Puwocike,Płock,Płock,Płock,Płock,Płock,Schröttersburg,Poyotsk,Płock,Plochia,Puuotsuku,Plocka,Plockas,Płock,Płock,Plotsk,Płock,Płock,,Płock,Płock,Płock,Plotsk
99,Jutland,Yutland,,,Ridelanbandao,Jutsko,Jutland,Jüütimaa,Jyllanti,Jutland,Jütland,Gioytlandi,Jylland,Iutland,Yutorando hantō,Jitlande,Jutlandijos pusiasalis,Półwysep Jutlandzki,Iutlanda,Jutlandija,Jylland,Yutland,,Jylland,Península de Jutlandia,Jutlândia,Jutland
100,Islanda,Ayislanda,,,Bingdao,Island,Iceland,Island,Islanti,Islande,Island,Islandia,Izland,Islanda,Aisurando,Islande,Islandija,Islandia,Islanda,Islandija,Island,İzlanda,,Island,Islandia,Islândia,IJsland
101,Groenlanda,Jrinland,,,Gelinglan,Grónsko,Greenland,Gröönimaa,Grönlanti,Groenland,Grönland,Groilandia,Grönland,Groenlandia,Gurīnrando,Grenlande,Grenlandija,Grenlandia,Groenlanda,Grenlandija,Grönland,Grönland,,Grenland,Groenlandia,Gronelândia,Groenland
102,Sllovenia,Slufinia,,,Siluowenniya,Slovinsko,Slovenia,Sloveenia,Slovenia,Slovénie,Slowenien,Slovenia,Szlovénia,Slovenia,Surobenia,Slovēnija,Slovėnija,Słowenia,Slovenia,Slovenija,Slovenien,Slovenya,,Slovenija,Eslovenia,Eslovénia,Slovenië
103,Dalmacia,Dalmasya,,,Da'ermatiya,Dalmácie,Dalmatia,Dalmaatsia,Dalmatia,Dalmatie,Dalmatien,Dalmatia,Dalmácia,Dalmazia,Darumachia,Dalmācija,Dalmatija,Dalmacja,Dalmația,Dalmatsija,Dalmatien,Dalmaçya,,Dalmacija,Dalmacia,Dalmácia,Dalmatië
104,Bosnja,Albusnat,,,Bosiniya,Bosna,Bosnia,Bosnia,Bosnia,Bosnie,Bosnisches-Land,Vosnia,Bosznia,Bosnia,Bosunia herutsuegobina,Bosnija,Bosnija,Bośnia,Bosnia,Bosnija,Bosnien,Bosna,,Bosna,Bosnia,Bósnia,Bosnië
105,Mali i Zi,Aljabal alaswad,,,Mengteneigeluo,Černá Hora,Montenegro,Montenegro,Montenegro,Monténégro,Dunkerberg,Maurovoynio,Montenegró,Montenegro,Monteneguro,Melnkalne,Juodkalnija,Czarnogóra,Muntenegru,Chernogorija,Montenegro,Karadağ,,Crna Gora,Montenegro,Montenegro,Montenegro
106,Maqedonia,Maqdunia,,,Maqidun,Makedonie,Macedonia,Macedonia,Macedonia,Macédoine,Mazedonien,Makedonia,Macedónia,Macedonia,Makedonia,Maķedonija,Macedonia,Macedonia,Macedonia,Makedonija,Macedonia,Makedonya,,Makedonija,Macedonia,Macedónia,Macedonië
107,Serbia,Sirbia,,,Saierweiya,Srbsko,Serbia,Serbia,Serbia,Serbie,Serbien,Servia,Szerbia,Serbia,Serubia,Serbija,Serbija,Serbia,Serbia,Serbija,Serbien,Sırbistan,,Srbija,Serbia,Sérvia,Servië
108,Morava,Morava,,,Molawa,Morava,Morava,Morava,Morava,Morava,Morava,Morava,Morava,Morava,Moravua,Morava,Morava,Morava,Morava,Morava,Morava,Morava,,Morava,Morava,Morava,Morava
109,Kroacia,Kuruatia,,,Keluodiya,Chorvatsko,Croatia,Horvaatia,Kroatia,Croatie,Kroatien,Kroatia,Horvátország,Croazia,Kuroachia,Horvātija,Kroatija,Chorwacja,Croația,Horvatija,Kroatien,Hırvatistan,,Hrvatska,Croacia,Croácia,Kroatië
110,Østlandet,Sharq alnurwij,,,Dongnuowei,Østlandet,Østlandet,Østlandet,Østlandet,Østlandet,Ostnorwegen,Anatoliki Norvigia,Østlandet,Est Norvegia,Esutoran,Østlandet,Rytų Norvegija,Østlandet,Østlandet,Estlann,Østlandet,Doğu Norveç,,Østlandet,Austlandet,Noruega Oriental,Oostlanden
111,Uusimaa,Uwsima,,,Xindiqu,Uusimaa,Uusimaa,Uusimaa,Uudenmaan maakunta,Uusimaa,Nyland,Uusimaa,Nyland tartomány,Nilandia,Ūshimā ken,Uusimaa,Ūsima,Uusimaa,Uusimaa,Uusimaa,Nyland,Uusimaa,,Uusimaa,Región de Uusimaa,Uusimaa,Uusimaa
112,Lisbona,Lishbuna,,,Lisiben,Lisabon,Lisbon,Lissabon,Lissabon,Lisbonne,Lissabon,Lisavona,Lisszabon,Lisbona,Risubon,Lisabona,Lisabona,Lizbona,Lisabona,Lissabon,Lissabon,Lizbon,,Lisabon,Lisboa,Lisboa,Lissabon
113,Leinsteri,Linstar,,,Lunsitesheng,Leinster,Leinster,Leinsteri,Leinster,Laineterre,Leinstein,Lenster,Leinster,Irlanda Occidentale,Rensutā,Lenstera,Lensteris,Leinster,Leinster,Lenster,Leinster,Leinster,,Cúige Laighean,Leinster,Leinster,Leinster
114,Sardenja,Sardinia,,,Sadingdao,Sardinie,Sardinia,Sardiinia,Sardinia,Sardaigne,Sardinien,Sardinia,Szardínia,Sardegna,Sarudēnya,Sardinija,Sardinija,Sardynia,Sardinia,Sardinija,Sardinien,Sardinya Özerk Bölgesi,,Sardinija,Cerdeña,Sardenha,Sardinië
115,Siçilia,Siqiliya,,,Xixilidao,Sicílie,Sicily,Sitsiilia,Sisilian alue,Sicile,Sizilien,Sikelia,Szicília,Sicilia,Shichiria,Sicilija,Sicilija,Sycylia,Sicilia,Sitsilija,Sicilien,Sicilya,,Sicilija,Sicilia,Sicília,Sicilië
116,Malta,Malta,,,Ma'erta,Malta,Malta,Malta,Malta,Malte,Malta,Malta,Málta,Malta,Maruta,Malta,Malta,Malta,Malta,Mal'ta,Malta,Malta,,Malta,Malta,Malta,Malta
117,Kampania,Kambania,,,Kanpaniyadaqu,Kampánie,Campania,Campania,Campania,Campanie,Kampanien,Kabania,Campania,Campania,Kanpania-shū,Kampānija,Kampanija,Kampania,Campania,Kampanija,Kampanien,Campania,,Kampanija,Campania,Campânia,Campanië
118,Gjibraltari,Jabal tariq,,,Zhibuluotuo,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Givraltar,Gibraltár,Gibilterra,Jiburarutaru,Gibraltārs,Gibraltaras,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Cebelitarık,,Gibraltar,Gibraltar,Gibraltar,Gibraltar
119,Irlanda Veriore,Ayirlanda alshamalia,,,Bei'aierlan,Severní Irsko,Northern Ireland,Põhja-Iirimaa,Pohjois-Irlanti,Irlande du Nord,Nordirland,Voreia Irlandia,Észak-Írország,Irlanda del Nord,Kitaairurando,Ziemeļirija,Šiaurės Airija,Irlandia Północna,Irlanda de Nord,Severnaja Irlandija,Nordirland,Kuzey İrlanda,,Sjeverna Irska,Irlanda del Norte,Irlanda do Norte,Noord-Ierland
120,Scottish Highlands,Murtafaeat askutlanda,,,Sugelangaodi,Skotská vysočina,Scottish Highlands,Põhja-Šoti mägismaa,Skotlannin ylämaa,Montagnes Écossaises,Nord-West-Schottland,Scottish Highlands,Skót-felföld,Gli Altipiani,Hairando chihō,Scottish Highlands,Škotijos aukštumos,Highlands,Scottish Highlands,Severo-Shotlandskoe nagor'e,Skotska högländerna,Kuzey İskoçya,,Škotsko visočje,Tierras Altas de Escocia,Terras Altas,Schotse Hooglanden
121,Lothian,Lawthyan,,,Luoxian,Lothian,Lothian,Lothian,Lothian,Lothian,Süd-Ost-Schottland,Lothian,Lothian,Lotania,Rōjian,Lothian,Lodianas,Lothian,Lothian,Lotian,Lothian,Lothian,,Lothian,Lothian,Lothian,Lothian
122,Uellsi,Wylz,,,Weiersi,Wales,Wales,Wales,Wales,Pays de Galles,Walchen,Oyalia,Wales,Galles,Uēruzu,Velsa,Velsas,Walia,Țara Galilor,Uel's,Wales,Galler,,Wales,Gales,País de Gales,Wales
123,South-West England,Janub gharb iinjiltira,,,Xinanyinggelan,Jihozápadní Anglie,South-West England,Edela-Inglismaa,Lounais-Englanti,Cornouallies,Kornwalen,South-West England,South West England,Sud Ovest,Sausu uesuto ingurando,Dienvidrietumanglija,Pietvakarių Anglija,South West England,South West England,Jugo-Zapadnaja Anglija,Sydvästra England,Güney Batı İngiltere,,Jugozapadna Engleska,Región del Sudoeste de Inglaterra,Sudoeste da Inglaterra,Zuid-West Engeland
124,Gotland,Jidi,,,Gedelandao,Gotland,Gotland,Ojamaa,Gotlanti,Gotland,Gotland,Gkotlant,Gotland,Gotlandia,Gottorando-jima,Gotlande,Gotlandas,Gotlandia,Gotland,Gotland,Gotland,Gotland,,Gotland,Isla de Gotland,Gotlândia,Gotland
125,East Anglia,Sharq anjilia,,,Donganggeliya,East Anglia,East Anglia,East Anglia,East Anglia,Est-Anglie,Ost-Anglen,East Anglia,East Anglia,Anglia orientale,Īsuto anguria,East Anglia,East Anglia,Anglia Wschodnia,East Anglia,Vostochnaja Anglija,Östangeln,East Anglia,,East Anglia,Anglia Oriental,East Anglia,Oost Anglië
126,Greater London Area,Greater London Area,,,Dalundun,Greater London Area,Greater London Area,Greater London Area,Greater London Area,Région du Grand Londres,Groß-Lunden,Greater London Area,Greater London Area,Londra,Greater London Area,Greater London Area,Greater London Area,Greater London Area,Greater London Area,Greater London Area,Greater London Area,Greater London Area,,Greater London Area,Greater London Area,Greater London Area,Londense Metropool
127,Sussex,Saskis,,,Sasaikesijun,Sussex,Sussex,Sussex,Sussex,Sudaige,Südsachsen,Sassex,Sussex,Cantia,Sasekkusu,Sussex,Sussex,Sussex,Sussex,Susseks,Sussex,Sussex,,Sussex,Sussex,Sussex,Sussex
128,West Midlands,West Midlands,,,West midlands,West Midlands,West Midlands,West Midlands,West Midlands,Midlands de l'Ouest,West-Mittelland,West Midlands,West Midlands,Terre di mezzo ovest,Uesuto middoranzu,West Midlands,Vakarų Midlandsas,West Midlands,West Midlands,West Midlands,West Midlands,West Midlands,,West Midlands,West Midlands,Midlands Ocidentais,West Middenlanden
129,East Midlands,Midland alsharqia,,,Dongmidelan,East Midlands,East Midlands,East Midlands,Itä-Midlands,Midlands de l'Est,Ost-Mittelland,East Midlands,Kelet-Közép-Anglia,Terre di mezzo est,Īsuto middoranzu,Austrummidlenda,Rytų Midlandsas,East Midlands,East Midlands,Vostochnyj Midlend,East Midlands,East Midlands,,Istočni Midlands,Región de las Tierras Medias Orientales,Midlands Orientais,Oost Middenlanden
130,Yorkshire,Yurkshayr,,,Yuekejun,Yorkshire,Yorkshire,Yorkshire,Yorkshire,Evyrac,Yorkshire,Giorksir,Yorkshire,Eborachia,Yōkushā,Jorkšira,Jorkšyras,Yorkshire,Yorkshire,Jorkshir,Yorkshire,Yorkshire,,Yorkshire,Yorkshire,Yorkshire,Yorkshire
131,Northern England,Iinjiltira alshamalia,,,Yingbei,Northern England,Northern England,Northern England,Northern England,Nortombrie,Nordengland,Northern England,Northern England,Inghilterra settentrionale,Nōdengēto,Northern England,Šiaurės Anglija,Anglia Północna,Northern England,Severnaja Anglija,Northern England,Northern England,,Northern England,Norte de Inglaterra,Norte da Inglaterra,Noordelijk Engeland
132,Lancashire,Lankashar,,,Lankaixia,Lancashire,Lancashire,Lancashire,Lancashire,Mancêtre,Lankastscheier,Lancashire,Lancashire,Mancunia,Rankashā,Lankašira,Lankašyras,Lancashire,Lancashire,Lankashir,Lancashire,Lancashire,,Lancashire,Lancashire,Lancashire,Lancashire
133,Lanark,Lanark,,,Lanake,Lanark,Lanark,Lanark,Lanark,Glasgovie,Süd-West-Schottland,Lanark,Lanark,Valentia Ovest,Ranāku,Lanark,Lanark,Lanark,Lanark,Lanark,Lanark,Lanark,,Lanark,Lanark,Lanark,Lanark
134,Connaught,Kunakt,,,Kangnuotesheng,Connacht,Connaught,Connachti,Connacht,Le Condaît,Konichtsland,Konot,Connacht,Irlanda Orientale,Konōto,Connaught,Konachtas,Connacht,Connaught,Konnaht,Connacht,Connacht,,Cúige Chonnacht,Connacht,Connacht,Connacht
135,Munsteri,Munistar,,,Mangsitesheng,Munster,Munster,Munsteri,Munster,Monterre,Münstein,Manster,Munster,Irlanda Meridionale,Mansutā,Manstera,Mansteris,Munster,Munster,Manster,Munste,Munster,,Cúige Mumhan,Munster,Munster,Munster
136,Aberdeenshire,Abirdinshayir,,,Abodingjun,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdonie,Nord-Ost-Schottland,Aberdeenshire,Aberdeenshire,Est Caledonia,Abadīnshā,Aberdeenshire,Aberdynšyras,Aberdeenshire,Aberdeenshire,Aberdinshir,Aberdeenshire,Aberdeenshire,,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdeenshire
137,Krimea,Alqirm,,,Kelimiya,Krym,Crimea,Krimmi,Krim,Crimée,Krim,Krimaia,Krím,Crimea,Kurimiahantō,Krima,Krymas,Półwysep Krymski,Crimeea,Krym,Krim,Kırım,,Krim,Crimea,Crimeia,Krim
138,Skåne,Sukuna,,,Sikene,Scania,Scania,Skåne,Skåne,Scanie,Schonen,Skania,Skåne tartomány,Scania,Sukōne chihō,Scania,Scania,Skania,Skåne,Skone,Skåne,Skåne,,Skåne,Escania,Escânia,Skåne
139,Småland,Semaland,,,Simolan,Småland,Småland,Småland,Småland,Småland,Småland,Smolant,Småland tartomány,Smolandia,Sumōrando chihō,Småland,Smolandas,Smalandia,Småland,Smoland,Småland,Småland,,Småland,Småland,Småland,Småland
140,Västergötland,Fistriutland,,,Xiyuetelan,Västergötland,Västergötland,Västergötland,Länsi-Götanmaa,Västergötland,Västergötland,Dutiko Gkotlant,Västergötland tartomány,Gotia Ovest,Vuesuteruiētorando chihō,Västergötland,Västergötland,Västergötland,Västergötland,Vestergetland,Västergötland,Västergötland,,Västergötland,Vestrogotia,Västergötland,Westelijk Gotenland
141,Svealand,Sifiland,,,Siwei'alan,Svealand,Svealand,Svealand,Sveanmaa,Svealand,Svealand,Svialant,Svealand,Svezia propria,Suvuearando,Svēlande,Svealandas,Svealand,Svealand,Svealand,Svealand,Svealand,,Svealand,Svealand,Svealand,Svealand
142,Vestlandet,Gharb alnurwyj,,,Xinuowei,Vestlandet,Vestlandet,Vestlandet,Vestlandet,Vestlandet,Westnorwegen,Dutiki Norvigia,Vestlandet,Norvegia dell'Ovest,Vuesutoran,Vestlandet,Vestlandet,Vestlandet,Vestlandet,Vestlann,Vestlandet,Batı Norveç,,Vestlandet,Vestlandet,Noruega Ocidental,Westlanden
143,Trøndelag,Trundalugh,,,Telundelagejun,Trøndelag,Trøndelag,Trøndelag,Trøndelagin fylke,Comté de Trøndelag,Tröndelag,Trentelagk,Trøndelag,Trudelandia,Toronderāgu,Trendelāga,Triondelagas,Trøndelag,Trøndelag,Trendelag,Trøndelag fylke,Trøndelag,,Trøndelag,Trøndelag,Trøndelag,Trøndelag
144,Nord-Norge,Shamal alnurwij,,,Beinuowei,Nord-Norge,Nord-Norge,Põhja-Norra,Pohjois-Norja,Nord-Norge,Nordnorwegen,Voreia Norvigia,Észak-Norvégia,Norvegia del Nord,Nōrunoruge,Nord-Norge,Šiaurės Norvegija,Nord-Norge,Nord-Norge,Nur-Norge,Nordnorge,Kuzey Norveç,,Nord-Norge,Nord-Norge,Noruega Setentrional,Noordelijk Noorwegen
145,Ishujt Oland,Juzur uwland,,,Aolan,Alandy,Åland,Ahvenamaa,Ahvenanmaan maakunta,Åland,Åland,Ώlant,Åland,Alandia,Ōrando shotō,Olande,Alandai,Wyspy Alandzkie,Insulele Åland,Alandskie ostrova,Åland,Åland,,Ålandski otoci,Åland,Ilhas Åland,Åland
146,Karjala,Karylya,,,Qialeilia,Karjala,Karelia,Karjala,Karjala,Karjala,Karelien,Karelia,Karjala,Carelia,Kareria,Karjala,Karjala,Karjala,Karjala,Karelija,Karjala,Karjala,,Karjala,Carelia,Carélia,Karelië
147,Sall,Salla,,,Sala,Salla,Salla,Salla vald,Salla,Salla,Salla,Salla,Salla,Salla,Sara,Salla,Salla,Salla,Salla,Salla,Sall,Salla,,Salla,Salla,Salla,Salla
148,Lappi,Lapland,,,Lapulan,Lappi,Lapland,Lappi,Lappi,Lappi,Lappland,Lapland,Lappi,Lapponia,Lapland,Lappi,Lappi,Lappi,Lappi,Lapland,Lappi,Lappi,,Lappi,Lapland,Lapland,Lapland
149,Pohjanmaa,Ostrobothnia,,,Boteng,Pohjanmaa,Ostrobothnia,Pohjanmaa,Pohjanmaa,Pohjanmaa,Österbotten,Ostrovothnia,Pohjanmaa,Ostrobotnia,Ostrobothnia,Pohjanmaa,Pohjanmaa,Pohjanmaa,Pohjanmaa,Poh'janmaa,Pohjanmaa,Pohjanmaa,,Pohjanmaa,Ostrobotnia,Ostrobothnia,Ostrobothnia
150,Savo,Savonia,,,Sawoniya,Savo,Savonia,Savo,Savo,Savo,Savo,Savonia,Savo,Savonia,Savonia,Savo,Savo,Savo,Savo,Savonia,Savo,Savo,,Savo,Savonia,Savonia,Savonia
151,Eastern Switzerland,Sharq suisra,,,Ruidong,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Suisse orientale,Ostschweiz,Eastern Switzerland,Eastern Switzerland,Svizzera orientale,Ostschweiz,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Doğu İsviçre,,Eastern Switzerland,Eastern Switzerland,Eastern Switzerland,Oostelijk Zwitserland
152,Austria e Epërme,Alnamsa aleulya,,,Shangaodilizhou,Horní Rakousy,Upper Austria,Ülem-Austria,Ylä-Itävalta,Haute-Autriche,Oberösterreich,Άno Austria,Felső-Ausztria,Alta Austria,Ōbāesutāraihi shū,Augšaustrija,Aukštutinė Austrija,Górna Austria,Austria Superioară,Verhnjaja Avstrija,Oberösterreich,Yukarı Avusturya,,Gornja Austrija,Alta Austria,Alta Áustria,Opper-Oostenrijk
153,Tyrol,Tyrol,,,Diluo'er,Tyrol,Tyrol,Tyrol,Tyrol,Tyrol,Tirol,Tirolo,Tirol,Tirolo,Chiroru,Tyrol,Tirolis,Tyrol,Tirol,Tirol',Tyrolen,Tyrol,,Tirol,Tirol,Tirol,Tirol
154,Alföld,Alföld,,,Xiongyali dapingyuan,Velká dunajská nížina,Alföld,Alföld,Iso Unkarin alanko,Alföld,Niederungarn,Alföld,Alföld,Bassa Ungheria,Hangarī taiheigen,Alföld,Alfeldas,Wielka Nizina Węgierska,Marea Câmpie Ungară,Al'fel'd,Stora ungerska slättlandet,Büyük Macaristan Ovası,,Velika mađarska nizina,Gran llanura húngara,Grande Planície Húngara,Grote Hongaarse Laagvlakte
155,Transdanubia,Transdanubia,,,Waiduonao,Zadunají,Transdanubia,Dunántúl,Transdanubia,Transdanubie,Transdanubien,Uperdoynavia,Dunántúl,Transdanubia,Toransudansu,Transdanubia,Transdanubia,Kraj Zadunajski,Transdanubia,Transdanubija,Transdanubien,Transtuna,,Transdanubia,Transdanubia,Transdanubia,Transdanubië
156,Kalabria,Kalabria,,,Qialabuliya,Kalábrie,Calabria,Calabria,Calabria,Calabre,Kalabrien,Kalavria,Calabria,Calabria,Karaburia-shū,Kalabrija,Kalabrija,Kalabria,Calabria,Kalabrija,Kalabrien,Calabria,,Kalabrija,Calabria,Calábria,Calabrië
157,Abruco,Abrutsu,,,Abuluzuo,Abruzzo,Abruzzo,Abruzzo,Abruzzo,Abruzzes,Abruzzen,Abroytso,Abruzzo,Abruzzo,Aburuttsuo-shū,Abruco,Abrucai,Abruzja,Abruzzo,Abrutstsi,Abruzzo,Abruzzo,,Abruzzo,Abruzos,Abruzos,Abruzzen
158,Piemonti,Biimunti,,,Pi'aimengte,Piemont,Piedmont,Piemonte,Piemonte,Piémont,Piemont,Pedemontio,Piemont,Piemonte,Piemonte-shū,Pjemonta,Pjemontas,Piemont,Piemont,P'emont,Piemonte,Piyemonte,,Pijemont,Piamonte,Piemonte,Piëmont
159,Lombardia,Lumbardia,,,Lunbadi,Lombardie,Lombardy,Lombardia,Lombardia,Lombardie,Lombardei,Lomvardia,Lombardia,Lombardia,Ronbarudia-shū,Lombardija,Lombardija,Lombardia,Lombardia,Lombardija,Lombardiet,Lombardiya,,Lombardija,Lombardía,Lombardia,Lombardije
160,Veneto,Finitu,,,Weinituo,Benátsko,Veneto,Veneto,Veneto,Vénétie,Venetien,Veneto,Veneto,Veneto,Vueneto-shū,Veneto,Venetas,Wenecja Euganejska,Veneto,Venetsija,Veneto,Veneto,,Veneto,Véneto,Vêneto,Veneto
161,Emilia-Romanja,Iimilya-rwmania,,,Aimiliya-luomanie,Emilia-Romagna,Emilia Romagna,Emilia Romagna,Emilia-Romagna,Émilie-Romagne,Emilia-Romagna,Emilia-Romania,Emilia-Romagna,Emilia-Romagna,Emiria romānya shū,Emilija-Romanja,Emilija-Romanija,Emilia-Romania,Emilia-Romagna,Emilija-Roman'ja,Emilia-Romagna,Emilia-Romagna,,Emilia-Romagna,Emilia-Romaña,Emília-Romanha,Emilia-Romagna
162,Toskana,Tuskana,,,Tuosiqiana,Toskánsko,Tuscany,Toscana,Toscana,Toscane,Toskana,Toskani,Toszkána,Toscana,Tosukāna shū,Toskāna,Toskana,Toskania,Toscana,Toskana,Toscana,Toskana,,Toskana,Toscana,Toscana,Toscane
163,Zara,Zara,,,Zhala,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,Zara,,Zara,Zara,Zara,Zara
164,Dodekanezi,Dudikanisia,,,Shi'er qundao,Dodekany,Dodecanese,Dodekaneesid,Dodekanesia,Dodécanèse,Dodekanes,Dodekanisa,Dodekanészosz,Dodecaneso,Dodekanesushotō,Dodekanesa,Dodekanesas,Dodekanez,Dodecanez,Dodekanes,Dodekanisos,On İki Ada,,Dodekanez,Dodecaneso,Dodecaneso,Dodekanesos
165,Katalonia,Katalunya,,,Jiatailuoniya,Katalánsko,Cataluña,Kataloonia,Katalonia,Catalogne,Katalonien,Katalonia,Katalónia,Catalogna,Katarūnya shū,Katalonija,Katalonija,Katalonia,Catalonia,Katalonija,Katalonien,Katalonya,,Katalonija,Cataluña,Catalunha,Catalonië
166,Western Aragón,Western Aragón,,,Xi'alagong,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Aragona Occidentale,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,Western Aragón,,Western Aragón,Western Aragón,Western Aragón,Westelijk Aragón
